@id,@type,topConceptOf,inScheme,prefLabel,definition,lololol
https://data.vlaanderen.be/id/conceptscheme/StandaardType,skos:ConceptScheme,,,StandaardType,Informatie over het type van de standaard,hello worldd
https://data.vlaanderen.be/id/concept/StandaardType/Vocabularium,skos:Concept,https://data.vlaanderen.be/id/conceptscheme/StandaardType,https://data.vlaanderen.be/id/conceptscheme/StandaardType,Vocabularium,"De basis voor open semantische informatiestandaarden, dit omvat een gedeeld begrippenkader voor bepaalde concepten met een focus op gegevensuitwisseling",
https://data.vlaanderen.be/id/concept/StandaardType/Applicatieprofiel,skos:Concept,https://data.vlaanderen.be/id/conceptscheme/StandaardType,https://data.vlaanderen.be/id/conceptscheme/StandaardType,Applicatieprofiel,Dit type document is een specificatie op basis van de termen uit een of meerdere vocabularia. Het geeft aan hoe data binnen een generiek applicatie domein dient gebruikt te worden.,
https://data.vlaanderen.be/id/concept/StandaardType/Implementatiemodel,skos:Concept,https://data.vlaanderen.be/id/conceptscheme/StandaardType,https://data.vlaanderen.be/id/conceptscheme/StandaardType,Implementatiemodel," Dit Type document is een specificatie op basis van de termen uit een of meerdere vocabularia. Het heeft aan hoe data binnen een specifiek applicatiedomein dient gebruikt te worden. Dikwijls, maar niet verplicht, implementeert een implementatie model de afspraken van een bijhorend applicatieprofiel",
https://data.vlaanderen.be/id/concept/StandaardType/TechnischeStandaard,skos:Concept,https://data.vlaanderen.be/id/conceptscheme/StandaardType,https://data.vlaanderen.be/id/conceptscheme/StandaardType,Technische standaard,"De technische specificaties voor gegevensuitwisseling, ze bieden manieren aan van gestandaardiseerde gegevensuitwisseling aan.",
https://data.vlaanderen.be/id/concept/StandaardType/Interoperabiliteit,rdfs:Concept,https://data.vlaanderen.be/id/conceptscheme/StandaardType,https://data.vlaanderen.be/id/conceptscheme/StandaardType,Interoperabiliteit,"een stabiele specificatie voor de standaard werd ontwikkeld, aan de hand van een publieke reviewperiode wordt implementatie-ervaring opgedaan en feedback van buiten de thematische werkgroep verzameld",
